Passed Wells
A1
A3
A6
A8
A10
A11
A12
A13
A15
A16
A17
A18
A19
A20
A21
A22
A24
B1
B2
B3
B6
B7
B8
B9
B11
B12
B13
B15
B17
B20
B22
B23
B24
C1
C4
C6
C7
C8
C12
C13
C15
C16
C17
C18
C21
C22
C23
D3
D4
D5
D8
D10
D11
D12
D13
D14
D15
D16
D17
D18
D22
E3
E8
E10
E12
E14
E15
E16
E17
E20
E21
E23
E24
F1
F2
F3
F4
F5
F7
F8
F10
F12
F13
F14
F15
F16
F17
F21
F24
G5
G6
G7
G10
G12
G15
G17
G19
G22
G24
H2
H4
H7
H8
H9
H10
H12
H14
H15
H16
H17
H18
H19
H22
H23
I1
I4
I5
I6
I7
I8
I10
I14
I15
I16
I17
I18
I19
I21
I23
I24
J1
J3
J5
J6
J7
J9
J10
J13
J14
J15
J16
J17
J19
J21
J22
J23
J24
K2
K3
K6
K7
K8
K9
K10
K12
K16
K19
K21
K24
L4
L7
L10
L12
L14
L15
L16
L17
L19
L20
L22
L24
M2
M3
M4
M5
M7
M9
M10
M12
M14
M15
M16
M20
M21
M22
M23
M24
N2
N3
N4
N6
N7
N10
N11
N12
N14
N15
N16
N19
N21
N22
N24
O4
O5
O6
O7
O9
O10
O11
O12
O14
O15
O16
O19
O20
O21
O22
P1
P2
P3
P5
P6
P7
P9
P10
P11
P12
P14
P15
P16
P19
P20
P21
P23
P24
